,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
11,3.0,,5.0,2.0,,,5.0,2.0,5.0,,2.0,,,,,,4.0,,,2.0,1.0,4.0,,2.0,1.0,4.0,5.0,,1.0,3.0,,2.0,1.0,,4.0,,,3.0,4.0,,,4.0,2.0,2.0,1.0,,,,,5.0,,,1.0,,1.0,4.0,,,,3.0,1.0,4.0,,,1.0,3.0,,,,4.0,,,1.0,5.0,,2.0,5.0,,1.0,,2.0,,4.0,,,,,,,,2.0,,3.0,,,,5.0,2.0,,
12,4.0,5.0,,,,,5.0,4.0,,3.0,,3.0,,3.0,3.0,5.0,1.0,5.0,5.0,,4.0,,4.0,,,,5.0,2.0,3.0,,5.0,,4.0,3.0,,,4.0,,,3.0,,,5.0,,,1.0,,,,,,1.0,,,,3.0,5.0,1.0,,1.0,1.0,,3.0,,,2.0,,,,3.0,,2.0,,3.0,,,4.0,5.0,,,5.0,,,,5.0,,5.0,,4.0,1.0,1.0,2.0,5.0,5.0,2.0,,2.0,,3.0,5.0
13,,,,1.0,,1.0,4.0,1.0,2.0,5.0,,,,,2.0,2.0,,3.0,4.0,,,2.0,4.0,2.0,,,,1.0,5.0,,,3.0,2.0,1.0,4.0,,3.0,,,2.0,,,,5.0,3.0,,5.0,3.0,3.0,3.0,,4.0,2.0,4.0,2.0,,3.0,2.0,3.0,,2.0,,3.0,,2.0,,,,,4.0,2.0,,4.0,4.0,1.0,,,2.0,2.0,,,3.0,1.0,,,2.0,4.0,5.0,,1.0,,3.0,4.0,,,,,,4.0,5.0
14,3.0,4.0,4.0,5.0,,4.0,,2.0,,,3.0,3.0,,5.0,2.0,,,,,3.0,,,,,3.0,,1.0,5.0,1.0,,5.0,2.0,1.0,3.0,5.0,,,,3.0,2.0,1.0,,,2.0,3.0,,,,4.0,,,3.0,,3.0,,,,,3.0,,2.0,,5.0,4.0,,5.0,,2.0,2.0,,,2.0,1.0,,,5.0,3.0,4.0,,4.0,,3.0,5.0,,1.0,,,4.0,,,,2.0,,1.0,4.0,3.0,,,5.0,
15,,,2.0,4.0,4.0,,3.0,4.0,,,,,1.0,,,4.0,,,4.0,,2.0,3.0,,2.0,,2.0,,3.0,3.0,2.0,,4.0,4.0,4.0,,3.0,5.0,,,,5.0,1.0,1.0,,,,,,4.0,,3.0,,5.0,,4.0,5.0,,4.0,1.0,,5.0,2.0,4.0,,,4.0,,1.0,,4.0,5.0,,1.0,,1.0,,,,4.0,2.0,3.0,2.0,,,1.0,,,5.0,2.0,2.0,3.0,1.0,,,2.0,4.0,,3.0,2.0,
16,3.0,,3.0,,,,3.0,,5.0,2.0,4.0,,2.0,,,,,2.0,3.0,3.0,,1.0,,,,,4.0,,,4.0,,,,,,4.0,2.0,,,3.0,,1.0,,3.0,1.0,2.0,,5.0,,1.0,4.0,1.0,,,5.0,,,2.0,5.0,,3.0,1.0,1.0,2.0,,,4.0,4.0,5.0,,3.0,5.0,3.0,1.0,5.0,,3.0,4.0,1.0,1.0,4.0,,4.0,,2.0,2.0,3.0,5.0,,5.0,,3.0,,,2.0,,,,1.0,
17,2.0,,1.0,,5.0,3.0,,5.0,3.0,,,,,,1.0,,4.0,,,,5.0,,,3.0,,,,,2.0,1.0,,3.0,1.0,5.0,4.0,2.0,,,,2.0,,3.0,,,1.0,3.0,,,,,,,,5.0,,,,1.0,,,4.0,,5.0,,4.0,,1.0,,5.0,5.0,2.0,,,,,,,2.0,4.0,3.0,,5.0,,,,,,4.0,,,2.0,1.0,,4.0,4.0,1.0,5.0,4.0,,1.0
18,5.0,2.0,2.0,3.0,,3.0,3.0,,,,,4.0,4.0,5.0,,,,5.0,,,5.0,3.0,,,,1.0,,3.0,,3.0,2.0,2.0,4.0,,1.0,1.0,3.0,,,2.0,3.0,,1.0,3.0,,3.0,1.0,1.0,2.0,,,2.0,,,1.0,3.0,,2.0,4.0,3.0,3.0,2.0,1.0,5.0,3.0,2.0,,3.0,,2.0,2.0,,2.0,1.0,,5.0,,,3.0,4.0,4.0,1.0,5.0,2.0,2.0,5.0,5.0,,,3.0,,4.0,1.0,3.0,,,,2.0,4.0,
19,3.0,,5.0,,1.0,3.0,2.0,5.0,3.0,4.0,,,,3.0,,,1.0,,1.0,,,,,1.0,,,4.0,,3.0,3.0,4.0,4.0,,,4.0,,2.0,,,,4.0,4.0,,,2.0,3.0,,1.0,4.0,,4.0,,,,,,,,,,3.0,2.0,,,1.0,5.0,2.0,1.0,4.0,,,4.0,,4.0,,2.0,4.0,,,3.0,5.0,4.0,4.0,,3.0,,,,,5.0,,5.0,,4.0,,1.0,5.0,,,1.0
20,1.0,1.0,,,,4.0,4.0,4.0,4.0,2.0,,,4.0,,1.0,,1.0,,3.0,,,1.0,,4.0,4.0,5.0,5.0,,3.0,,1.0,1.0,,3.0,,,2.0,5.0,5.0,5.0,,3.0,3.0,,,,2.0,,2.0,4.0,,4.0,4.0,1.0,5.0,1.0,,,,,1.0,3.0,2.0,5.0,,3.0,,,,5.0,5.0,3.0,2.0,5.0,,,1.0,1.0,3.0,,3.0,,5.0,,,1.0,,2.0,2.0,,1.0,5.0,1.0,1.0,4.0,3.0,1.0,2.0,4.0,4.0
21,,2.0,,,1.0,,,,,,5.0,3.0,5.0,2.0,,,,,,,1.0,4.0,1.0,5.0,,,,4.0,1.0,,5.0,4.0,,,3.0,,,2.0,3.0,2.0,3.0,3.0,5.0,,5.0,,,,2.0,3.0,,,4.0,1.0,1.0,1.0,,,5.0,3.0,5.0,,3.0,5.0,2.0,,,,2.0,5.0,1.0,2.0,1.0,,,,,2.0,,3.0,2.0,,2.0,3.0,4.0,,,,,,4.0,,,5.0,2.0,5.0,,,,5.0
22,1.0,,4.0,,4.0,3.0,,,,5.0,4.0,,,,2.0,,3.0,1.0,,1.0,5.0,,4.0,,,,4.0,2.0,5.0,,,5.0,,1.0,,5.0,,2.0,5.0,3.0,5.0,5.0,,,,4.0,4.0,2.0,,4.0,,5.0,,4.0,1.0,5.0,,3.0,5.0,1.0,,4.0,2.0,5.0,,,,,,1.0,,5.0,2.0,1.0,4.0,3.0,,4.0,3.0,,3.0,,,,4.0,,1.0,3.0,3.0,,,3.0,,2.0,2.0,,,,4.0,2.0
23,3.0,,,,3.0,,1.0,5.0,,,,,4.0,5.0,,,5.0,1.0,2.0,2.0,,4.0,,2.0,1.0,,3.0,,,5.0,,5.0,,1.0,,3.0,,3.0,,,2.0,,,,3.0,,3.0,1.0,1.0,4.0,3.0,,5.0,4.0,,4.0,4.0,,,5.0,,,3.0,,,,,2.0,,,,5.0,,,,,5.0,2.0,3.0,5.0,,,2.0,2.0,1.0,3.0,3.0,3.0,,,,5.0,2.0,,,3.0,,,5.0,5.0
24,1.0,,5.0,,4.0,5.0,,2.0,2.0,,3.0,3.0,,2.0,,,2.0,,5.0,,,2.0,2.0,,,4.0,1.0,4.0,2.0,,4.0,,4.0,2.0,4.0,,5.0,,,,4.0,5.0,2.0,,4.0,2.0,,4.0,,,,,3.0,5.0,1.0,,4.0,1.0,,5.0,4.0,2.0,2.0,1.0,1.0,,,,4.0,,3.0,3.0,,,3.0,,,3.0,,3.0,,5.0,,2.0,,,5.0,1.0,2.0,,,2.0,,,,,,2.0,4.0,
25,,,,,1.0,4.0,,2.0,5.0,,3.0,,1.0,,,,,,,2.0,,,3.0,,5.0,,,,3.0,,,,5.0,,,4.0,,4.0,4.0,4.0,,4.0,,3.0,,,,,1.0,,1.0,1.0,2.0,,4.0,,2.0,,,,4.0,,,2.0,1.0,2.0,4.0,5.0,,,1.0,,,4.0,,,4.0,3.0,3.0,2.0,,5.0,4.0,,,,,,,4.0,,2.0,2.0,,,5.0,3.0,,2.0,
26,5.0,,,3.0,1.0,,,,2.0,1.0,1.0,,,4.0,1.0,4.0,,1.0,5.0,,,,1.0,2.0,4.0,4.0,,,,,3.0,,,2.0,3.0,,1.0,3.0,,,2.0,3.0,3.0,,3.0,2.0,,2.0,,4.0,4.0,5.0,3.0,,,1.0,,3.0,,3.0,,,,,4.0,5.0,,1.0,4.0,,1.0,,4.0,,,,,1.0,1.0,,,,3.0,,2.0,5.0,,,4.0,,4.0,4.0,,,,,,2.0,2.0,
27,,,1.0,,2.0,5.0,3.0,,,2.0,4.0,1.0,,2.0,5.0,5.0,,2.0,,,1.0,,4.0,3.0,2.0,,,4.0,,,2.0,5.0,,1.0,,,5.0,1.0,,4.0,3.0,3.0,1.0,4.0,,,,3.0,2.0,,1.0,,4.0,2.0,,,3.0,2.0,,,2.0,,,2.0,2.0,,,,1.0,3.0,,,,,1.0,,4.0,,1.0,,,,,4.0,,2.0,5.0,,,2.0,5.0,2.0,,3.0,,4.0,,,,
28,2.0,5.0,,5.0,4.0,3.0,1.0,,,4.0,,,,,,3.0,,,5.0,5.0,,1.0,4.0,,,3.0,3.0,,,3.0,2.0,3.0,2.0,,,,,2.0,1.0,,4.0,,,,,,2.0,3.0,1.0,4.0,2.0,2.0,4.0,1.0,,,,2.0,,,,,,1.0,4.0,3.0,,,,,2.0,,4.0,,,,,1.0,,1.0,3.0,3.0,,,,,,,,1.0,1.0,,1.0,1.0,,5.0,,,,
29,5.0,,,,4.0,,,,4.0,3.0,,5.0,5.0,,2.0,,,,3.0,,4.0,3.0,2.0,2.0,,,1.0,5.0,,4.0,1.0,,3.0,2.0,1.0,,,,3.0,,,5.0,2.0,3.0,,,,,4.0,1.0,,3.0,,,,5.0,5.0,,,,2.0,,3.0,5.0,2.0,1.0,1.0,1.0,4.0,,,,,2.0,,4.0,5.0,4.0,,2.0,,1.0,,5.0,,,1.0,,,,,,,,,3.0,2.0,1.0,2.0,
30,,,2.0,4.0,,,1.0,,,4.0,,5.0,,5.0,,2.0,2.0,4.0,,1.0,,,3.0,,3.0,,1.0,,,3.0,1.0,,4.0,,,5.0,,2.0,,,4.0,,,3.0,5.0,,5.0,,4.0,1.0,,,,,5.0,,,2.0,,,,5.0,2.0,2.0,3.0,,1.0,5.0,,,2.0,5.0,5.0,,2.0,,,4.0,,,,,3.0,,,5.0,4.0,,1.0,,,1.0,4.0,4.0,,2.0,,,5.0,
31,,,,,2.0,4.0,1.0,,5.0,3.0,4.0,2.0,3.0,,2.0,5.0,4.0,,,1.0,5.0,,4.0,1.0,2.0,,1.0,1.0,,,3.0,3.0,2.0,,,4.0,,5.0,,5.0,4.0,2.0,1.0,1.0,,1.0,,3.0,5.0,3.0,5.0,4.0,2.0,,4.0,,1.0,5.0,4.0,5.0,,,,4.0,5.0,5.0,2.0,2.0,,,,,4.0,,3.0,,,,,,4.0,,4.0,2.0,1.0,5.0,,,,,1.0,4.0,,,2.0,5.0,,2.0,,3.0
32,5.0,,1.0,,2.0,3.0,2.0,2.0,,,5.0,5.0,,,1.0,3.0,4.0,1.0,,,,2.0,,3.0,,5.0,3.0,2.0,3.0,,,5.0,3.0,3.0,,3.0,1.0,5.0,,,,1.0,,3.0,,2.0,1.0,,,5.0,2.0,,2.0,,,5.0,,,2.0,,3.0,3.0,2.0,1.0,3.0,2.0,,,3.0,3.0,,,,,1.0,5.0,4.0,4.0,3.0,,5.0,3.0,,,2.0,3.0,,4.0,3.0,1.0,,3.0,5.0,4.0,,,,3.0,5.0,2.0
33,,1.0,,4.0,3.0,,1.0,2.0,,,,,,,,,,,1.0,,5.0,,,,3.0,4.0,3.0,,,,,,,2.0,,,,5.0,,1.0,5.0,,,,,,,,3.0,2.0,5.0,,,3.0,1.0,3.0,5.0,2.0,,,,,,,,,4.0,,,,2.0,,,3.0,5.0,5.0,,3.0,3.0,,,2.0,,4.0,,3.0,2.0,,,,,,4.0,,,,3.0,,,3.0
34,,,4.0,,,,,3.0,3.0,4.0,,,5.0,,,,4.0,1.0,,,4.0,,1.0,,,4.0,,,,,,,,2.0,,,,3.0,,5.0,1.0,5.0,,,,4.0,4.0,2.0,3.0,2.0,5.0,,,,5.0,,,,4.0,,,,,5.0,,3.0,,2.0,,3.0,5.0,1.0,,2.0,2.0,,5.0,,,1.0,2.0,,,,5.0,5.0,4.0,,,,,,1.0,,4.0,2.0,5.0,,5.0,
35,3.0,4.0,2.0,,4.0,,5.0,5.0,2.0,1.0,2.0,4.0,,,,4.0,4.0,5.0,3.0,,5.0,2.0,1.0,2.0,,4.0,2.0,2.0,,1.0,,,3.0,,,4.0,2.0,2.0,2.0,,5.0,,5.0,,,,2.0,,,5.0,,,4.0,,,,,1.0,2.0,,,3.0,2.0,,,,5.0,2.0,,,,,,2.0,,3.0,4.0,,1.0,,1.0,2.0,,,1.0,3.0,,,2.0,,,,4.0,,5.0,,,5.0,4.0,
36,1.0,3.0,1.0,,4.0,,,,,2.0,,,1.0,2.0,3.0,,4.0,5.0,1.0,5.0,,,,5.0,,4.0,1.0,1.0,,,3.0,,1.0,,,4.0,1.0,5.0,,,,,4.0,,2.0,,4.0,5.0,,,4.0,2.0,1.0,,,2.0,,1.0,,,,4.0,,,,,5.0,3.0,,5.0,,5.0,,4.0,2.0,3.0,,4.0,,,,3.0,,,3.0,,,,5.0,1.0,,,,,3.0,,5.0,,,
37,,4.0,,,,4.0,5.0,2.0,,4.0,3.0,,,3.0,,,,3.0,4.0,1.0,4.0,,2.0,3.0,,,,,2.0,3.0,4.0,2.0,,,5.0,4.0,,,3.0,1.0,,3.0,,,,1.0,,,,4.0,1.0,,3.0,,2.0,,,4.0,4.0,,4.0,,1.0,5.0,,,5.0,,3.0,,,1.0,3.0,2.0,3.0,3.0,,,4.0,2.0,,,,4.0,,1.0,4.0,,,,,3.0,,4.0,,,5.0,,,
38,,2.0,,,3.0,,,5.0,,,,,1.0,,5.0,3.0,,,,2.0,1.0,,,,,1.0,,4.0,4.0,5.0,,,2.0,1.0,3.0,,,,1.0,,4.0,,,,,,,5.0,4.0,2.0,,,1.0,1.0,5.0,,,2.0,,3.0,4.0,,,,2.0,3.0,,,,,,,,4.0,,3.0,2.0,,,2.0,4.0,,4.0,,1.0,,,1.0,,1.0,,,3.0,,,2.0,,5.0,,1.0
39,3.0,,1.0,,4.0,4.0,1.0,,,,,,2.0,,5.0,,3.0,,,,,,,,,,,,,,,,,,4.0,5.0,,5.0,4.0,,2.0,,4.0,3.0,,,,,5.0,3.0,,,3.0,,1.0,1.0,4.0,,4.0,,,,2.0,2.0,,3.0,4.0,5.0,,2.0,2.0,,,,,3.0,,1.0,1.0,3.0,4.0,4.0,4.0,,3.0,,,,4.0,2.0,,4.0,,,,,2.0,5.0,,3.0
40,,2.0,,,3.0,,,,,1.0,,3.0,,1.0,,3.0,,4.0,1.0,,,4.0,2.0,,,2.0,,2.0,1.0,,,2.0,,2.0,,,4.0,2.0,2.0,,3.0,2.0,,,2.0,,,3.0,,4.0,4.0,4.0,,2.0,3.0,,,,4.0,,3.0,2.0,4.0,3.0,4.0,5.0,1.0,2.0,,,2.0,2.0,,,4.0,,,,4.0,4.0,,5.0,,,,1.0,4.0,,,3.0,,3.0,2.0,,,3.0,3.0,,1.0,4.0
41,2.0,5.0,5.0,,,5.0,2.0,2.0,,2.0,4.0,5.0,,1.0,,1.0,4.0,2.0,,4.0,,,5.0,,,,,1.0,5.0,4.0,4.0,2.0,,1.0,,,,1.0,,,,,2.0,3.0,,,,1.0,,,4.0,,,1.0,2.0,,,,,,,,2.0,2.0,,,5.0,,,3.0,,3.0,4.0,,3.0,,2.0,3.0,,,,5.0,,2.0,,,,5.0,,,,2.0,3.0,,,,3.0,5.0,1.0,
42,2.0,2.0,,,2.0,5.0,,,,,2.0,5.0,,5.0,,5.0,,,,4.0,,2.0,1.0,,,1.0,5.0,,1.0,,,4.0,5.0,,,,,,5.0,5.0,1.0,2.0,3.0,,2.0,3.0,,1.0,,1.0,,1.0,1.0,,,1.0,4.0,5.0,2.0,,,,,,1.0,5.0,3.0,5.0,,2.0,,,,,5.0,,3.0,1.0,,2.0,3.0,3.0,,1.0,2.0,5.0,2.0,1.0,,,5.0,,3.0,,3.0,,1.0,2.0,,
43,,,2.0,1.0,,,,,5.0,,,,,,,,4.0,,,4.0,4.0,4.0,,,,2.0,1.0,5.0,4.0,4.0,,5.0,2.0,,2.0,3.0,3.0,,,1.0,4.0,2.0,3.0,,3.0,4.0,3.0,2.0,2.0,1.0,,3.0,,,2.0,3.0,4.0,5.0,2.0,,4.0,,,4.0,1.0,1.0,,,,2.0,4.0,2.0,,4.0,,4.0,,,1.0,4.0,4.0,5.0,,1.0,,5.0,,,4.0,,,,,3.0,,3.0,,,,5.0
44,3.0,,5.0,,4.0,,5.0,,1.0,3.0,,1.0,2.0,4.0,,,,3.0,5.0,,1.0,,4.0,4.0,4.0,,3.0,5.0,,2.0,3.0,,,,1.0,,,,,,3.0,5.0,3.0,,,,,1.0,4.0,,,,5.0,4.0,,2.0,,,4.0,,,,5.0,5.0,,,,,4.0,,,,3.0,,,5.0,2.0,2.0,1.0,3.0,2.0,4.0,,1.0,5.0,,,,2.0,,1.0,,4.0,,,,1.0,2.0,2.0,
45,4.0,4.0,,,3.0,1.0,,1.0,,,5.0,,4.0,,,4.0,,5.0,,,4.0,1.0,3.0,,2.0,,2.0,,2.0,2.0,5.0,,,,2.0,,,1.0,3.0,,,3.0,,,4.0,3.0,,,,4.0,,,2.0,5.0,4.0,3.0,5.0,5.0,,,,4.0,,,,,1.0,,1.0,,,4.0,5.0,,,,1.0,,5.0,3.0,,3.0,5.0,3.0,4.0,2.0,,1.0,,,,4.0,,1.0,3.0,,2.0,,,1.0
46,,,,4.0,5.0,1.0,5.0,,1.0,1.0,5.0,,1.0,,,2.0,5.0,2.0,5.0,,,,,5.0,5.0,4.0,2.0,2.0,,5.0,5.0,,4.0,,,,5.0,2.0,4.0,,,,2.0,4.0,2.0,1.0,4.0,,,,,,,4.0,,3.0,1.0,1.0,1.0,,,,5.0,1.0,,2.0,,4.0,4.0,,,,,5.0,4.0,,4.0,1.0,2.0,,,,3.0,,1.0,3.0,,2.0,,2.0,3.0,,,,2.0,3.0,2.0,,2.0,
47,2.0,1.0,3.0,4.0,2.0,,4.0,3.0,4.0,1.0,,5.0,,2.0,,2.0,,,5.0,,1.0,3.0,,1.0,,3.0,4.0,5.0,,5.0,3.0,1.0,1.0,,,5.0,,,,4.0,,,,3.0,,,5.0,,4.0,2.0,2.0,,,4.0,,,,,,4.0,2.0,4.0,,,,4.0,,,,,3.0,2.0,3.0,3.0,,,,,4.0,2.0,2.0,,1.0,2.0,,4.0,5.0,3.0,4.0,4.0,3.0,5.0,,1.0,1.0,3.0,,3.0,3.0,
48,,4.0,4.0,,1.0,4.0,5.0,5.0,3.0,,,2.0,3.0,,,,,,,,,4.0,3.0,,,,,5.0,1.0,1.0,1.0,,1.0,2.0,1.0,2.0,5.0,,1.0,,,2.0,3.0,,2.0,5.0,,4.0,4.0,4.0,5.0,,3.0,4.0,3.0,2.0,,5.0,3.0,,4.0,2.0,3.0,4.0,,4.0,,,3.0,4.0,,,,,,,2.0,,,1.0,3.0,,4.0,2.0,5.0,1.0,,,,4.0,,1.0,4.0,5.0,,,,2.0,1.0,3.0
49,,2.0,5.0,,4.0,2.0,4.0,5.0,,,,,,2.0,2.0,3.0,3.0,,,,,,,2.0,4.0,2.0,3.0,5.0,4.0,4.0,,1.0,2.0,,,4.0,,,,4.0,4.0,1.0,,2.0,4.0,,5.0,,5.0,5.0,,,,1.0,4.0,,1.0,1.0,4.0,,2.0,3.0,,,4.0,3.0,,2.0,,,4.0,,2.0,,,,,,4.0,,3.0,,,,,,5.0,,3.0,,1.0,5.0,,4.0,,,,,5.0,1.0
50,,5.0,3.0,,,,1.0,,4.0,,,2.0,,3.0,,,5.0,,,,3.0,3.0,1.0,,,5.0,,4.0,,,1.0,1.0,1.0,,,1.0,4.0,,2.0,1.0,,,2.0,3.0,,,,,,,1.0,5.0,,,,2.0,2.0,2.0,4.0,,1.0,1.0,4.0,1.0,,4.0,3.0,,2.0,4.0,4.0,2.0,,,2.0,,,3.0,5.0,5.0,,,,3.0,,4.0,,3.0,,5.0,,3.0,5.0,1.0,,3.0,,4.0,,
51,,3.0,3.0,4.0,1.0,,,,,4.0,3.0,,,,,,3.0,4.0,,,1.0,2.0,1.0,,,4.0,2.0,4.0,,4.0,2.0,2.0,2.0,1.0,2.0,4.0,,5.0,3.0,,,2.0,2.0,,,1.0,,,2.0,,4.0,,3.0,,,4.0,2.0,4.0,3.0,,,,3.0,,,5.0,3.0,3.0,1.0,,4.0,4.0,,,4.0,,1.0,,,,,2.0,5.0,,3.0,4.0,4.0,4.0,,1.0,,,,,5.0,4.0,,3.0,1.0,3.0
52,,,5.0,,5.0,4.0,1.0,,,,1.0,1.0,,,3.0,3.0,4.0,,,,,,,2.0,,,,,4.0,,,3.0,,,,4.0,,2.0,,,,2.0,1.0,2.0,,,,4.0,3.0,,5.0,,,3.0,,,3.0,1.0,4.0,,,2.0,4.0,3.0,4.0,,2.0,,,,,,,1.0,2.0,5.0,,2.0,,1.0,3.0,,,2.0,,,2.0,,2.0,,5.0,,,2.0,4.0,4.0,,,,4.0
53,1.0,,,,,,5.0,4.0,,,,5.0,,,,,2.0,5.0,5.0,5.0,5.0,2.0,,,1.0,,,1.0,4.0,2.0,,,,1.0,2.0,5.0,,,5.0,5.0,,1.0,3.0,,,,,2.0,1.0,2.0,,,,2.0,,2.0,,,4.0,5.0,5.0,2.0,4.0,,4.0,3.0,3.0,,5.0,,4.0,2.0,5.0,4.0,,,,,5.0,3.0,1.0,,,2.0,3.0,2.0,,,1.0,,,4.0,,,4.0,,4.0,1.0,1.0,1.0
